Age,EstimatedSalary
19,19000
35,76000
26,43000
53,57000
19,54000
27,58000
27,84000
32,150000
25,33000
35,65000
26,80000
26,52000
20,86000
32,18000
18,82000
29,80000
47,25000
45,26000
46,28000
48,29000
45,22000
47,49000
48,41000
45,22000
46,23000
47,20000
49,28000
47,30000
29,43000
31,18000
31,74000
27,137000
21,16000
28,44000
27,90000
35,27000
33,28000
30,49000
26,72000
27,31000
27,17000
33,51000
35,108000
30,15000
28,84000
23,20000
25,79000
27,54000
30,135000
31,89000
